Side,Total Score,Turn Score
Player 2,2600,300
Player 2,2900,300
Player 2,3200,800
Player 2,4000,600
Player 2,4600,500
Player 2,5100,0
Player 2,5100,0
Player 2,5100,1100
Player 2,6200,500
Player 2,6700,500
Player 2,7200,350
Player 2,7550,450
Player 2,8000,400
Player 2,8400,400
Player 1,0,400
Player 1,400,550
Player 1,950,250
Player 1,1200,250
Player 1,1450,300
Player 1,1750,400
Player 1,2150,350
Player 1,2500,200
Player 1,2700,300
Player 1,3000,400
Player 1,3400,0
Player 1,3400,500
Player 1,3900,950
Player 1,4850,300
Player 1,5150,0
Player 1,5150,350
Player 1,5500,400
Player 1,5900,0
Player 1,5900,0
Player 1,5900,300
Player 1,6200,400
Player 1,6600,200
Player 1,6800,500
Player 1,7300,1000
Player 1,8300,650
Player 1,8950,0
Player 2,0,450
Player 2,450,300
Player 2,750,0
Player 2,750,600
Player 2,1350,850
Player 2,2200,0
Player 2,2200,800
Player 2,3000,0
Player 2,3000,0
Player 2,3000,650
Player 2,3650,0
Player 2,3650,250
Player 2,3900,150
Player 2,4050,300
Player 2,4350,1100
Player 2,5450,650
Player 2,6100,250
Player 2,6350,400
Player 2,6750,700
Player 2,7450,400
Player 2,7850,1150
Player 2,9000,300
Player 2,9300,0
Player 2,9300,400
Player 2,9700,250
Player 2,9950,200
Player 1,0,250
Player 1,250,0
Player 1,250,400
Player 1,650,0
Player 1,650,0
Player 1,650,150
Player 1,800,0
Player 1,800,300
Player 1,1100,750
Player 1,1850,1050
Player 1,2900,350
Player 1,3250,450
Player 1,3700,400
Player 1,4100,400
Player 1,4500,450
Player 1,4950,450
Player 1,5400,350
Player 1,5750,0
Player 1,5750,700
Player 1,6450,650
Player 1,7100,0
Player 1,7100,500
Player 2,0,350
Player 2,350,850
Player 2,1200,500
Player 2,1700,0
Player 2,1700,600
Player 2,2300,350
Player 2,2650,500
Player 2,3150,250
Player 2,3400,300
Player 2,3700,250
Player 2,3950,700
Player 2,4650,750
Player 2,5400,600
Player 2,6000,750
Player 2,6750,300
Player 2,7050,1100
Player 2,8150,0
Player 2,8150,400
Player 2,8550,0
Player 2,8550,350
Player 2,8900,500
Player 2,9400,600
Player 1,0,300
Player 1,300,250
Player 1,550,0
Player 1,550,400
Player 1,950,300
Player 1,1250,1100
Player 1,2350,850
Player 1,3200,200
Player 1,3400,0
Player 1,3400,400
Player 1,3800,300
Player 1,4100,300
Player 1,4400,350
Player 1,4750,300
Player 1,5050,450
Player 1,5500,0
Player 1,5500,1250
Player 1,6750,200
Player 1,6950,1150
Player 1,8100,1050
Player 1,9150,300
Player 1,9450,450
Player 1,9900,450
Player 2,0,750
Player 2,750,700
Player 2,1450,650
Player 2,2100,650
Player 2,2750,1000
Player 2,3750,450
Player 2,4200,300
Player 2,4500,900
Player 2,5400,250
Player 2,5650,0
Player 2,5650,350
Player 2,6000,0
Player 2,6000,200
Player 2,6200,300
Player 2,6500,300
Player 2,6800,0
Player 2,6800,650
Player 2,7450,300
Player 2,7750,300
Player 2,8050,0
Player 2,8050,250
Player 2,8300,800
Player 1,0,1050
Player 1,1050,250
Player 1,1300,600
Player 1,1900,450
Player 1,2350,200
Player 1,2550,0
Player 1,2550,350
Player 1,2900,500
Player 1,3400,0
Player 1,3400,650
Player 1,4050,300
Player 1,4350,350
Player 1,4700,1050
Player 1,5750,400
Player 1,6150,1000
Player 1,7150,0
Player 1,7150,400
Player 1,7550,300
Player 1,7850,0
Player 1,7850,650
Player 1,8500,300
Player 1,8800,750
Player 2,0,500
Player 2,500,750
Player 2,1250,200
Player 2,1450,450
Player 2,1900,350
Player 2,2250,600
Player 2,2850,500
Player 2,3350,0
Player 2,3350,0
Player 2,3350,450
Player 2,3800,400
Player 2,4200,250
Player 2,4450,0
Player 2,4450,0
Player 2,4450,950
Player 2,5400,650
Player 2,6050,400
Player 2,6450,650
Player 2,7100,1800
Player 2,8900,350
Player 2,9250,250
Player 2,9500,2350
Player 1,0,650
Player 1,650,700
Player 1,1350,600
Player 1,1950,600
Player 1,2550,450
Player 1,3000,800
Player 1,3800,250
Player 1,4050,0
Player 1,4050,300
Player 1,4350,200
Player 1,4550,1200
Player 1,5750,550
Player 1,6300,500
Player 1,6800,300
Player 1,7100,550
Player 1,7650,0
Player 1,7650,400
Player 1,8050,350
Player 1,8400,150
Player 1,8550,500
Player 2,0,0
Player 2,0,1000
Player 2,1000,0
Player 2,1000,350
Player 2,1350,250
Player 2,1600,250
Player 2,1850,1100
Player 2,2950,900
Player 2,3850,650
Player 2,4500,300
Player 2,4800,150
Player 2,4950,0
Player 2,4950,850
Player 2,5800,1100
Player 2,6900,1050
Player 2,7950,400
Player 2,8350,350
Player 2,8700,450
Player 2,9150,300
Player 2,9450,1200
Player 1,0,350
Player 1,350,400
Player 1,750,500
Player 1,1250,0
Player 1,1250,650
Player 1,1900,0
Player 1,1900,500
Player 1,2400,0
Player 1,2400,1050
Player 1,3450,300
Player 1,3750,300
Player 1,4050,300
Player 1,4350,450
Player 1,4800,250
Player 1,5050,250
Player 1,5300,1100
Player 1,6400,700
Player 1,7100,300
Player 1,7400,1000
Player 1,8400,1050
Player 1,9450,1050
Player 2,0,200
Player 2,200,750
Player 2,950,400
Player 2,1350,350
Player 2,1700,500
Player 2,2200,550
Player 2,2750,250
